variable,files,unique_values,suspected_conflict
"--glass-specular-intensity",2,2,true
"--glass-edge-color",2,2,true
"--glass-edge-blur",2,2,true
"--glass-state-hover-lift",2,1,false
"--glass-state-active-press",2,1,false
"--glass-state-disabled-opacity",2,2,true
"--glass-glow-intensity",1,1,false
"--glass-glow-spread",1,1,false
"--glass-color-white",1,1,false
"--glass-color-black",1,1,false
"--glass-color-primary",1,1,false
"--glass-color-success",1,1,false
"--glass-color-warning",1,1,false
"--glass-color-danger",1,1,false
"--glass-color-info",1,1,false
"--glass-blur-none",1,1,false
"--glass-blur-sm",1,1,false
"--glass-blur-md",1,1,false
"--glass-blur-lg",1,1,false
"--glass-blur-xl",1,1,false
"--glass-blur-2xl",1,1,false
"--glass-blur-3xl",1,1,false
"--glass-elev-0",1,1,false
"--glass-radius-none",1,1,false
"--glass-radius-2xl",1,1,false
"--glass-radius-full",1,1,false
"--glass-shadow-inner",1,1,false
"--glass-opacity-0",1,1,false
"--glass-opacity-5",1,1,false
"--glass-opacity-10",1,1,false
"--glass-opacity-15",1,1,false
"--glass-opacity-20",1,1,false
"--glass-opacity-25",1,1,false
"--glass-opacity-30",1,1,false
"--glass-opacity-35",1,1,false
"--glass-opacity-40",1,1,false
"--glass-opacity-45",1,1,false
"--glass-opacity-50",1,1,false
"--glass-opacity-60",1,1,false
"--glass-opacity-70",1,1,false
"--glass-opacity-80",1,1,false
"--glass-opacity-90",1,1,false
"--glass-opacity-95",1,1,false
"--glass-opacity-100",1,1,false
"--glass-focus-width",1,1,false
"--glass-focus-offset",1,1,false
"--glass-focus-color-primary",1,1,false
"--glass-focus-color-success",1,1,false
"--glass-focus-color-warning",1,1,false
"--glass-focus-color-danger",1,1,false
"--glass-focus-color-info",1,1,false
"--glass-focus-color-default",1,1,false
"--glass-motion-duration-instant",1,1,false
"--glass-motion-duration-fast",1,1,false
"--glass-motion-duration-normal",1,1,false
"--glass-motion-duration-slow",1,1,false
"--glass-motion-duration-slower",1,1,false
"--glass-motion-duration-slowest",1,1,false
"--glass-motion-ease-linear",1,1,false
"--glass-motion-ease-in",1,1,false
"--glass-motion-ease-out",1,1,false
"--glass-motion-ease-in-out",1,1,false
"--glass-motion-ease-standard",1,1,false
"--glass-motion-ease-emphasized",1,1,false
"--glass-motion-ease-decelerated",1,1,false
"--glass-motion-ease-accelerated",1,1,false
"--glass-motion-ease-spring",1,1,false
"--glass-space-0",1,1,false
"--glass-space-px",1,1,false
"--glass-space-0-5",1,1,false
"--glass-space-1",1,1,false
"--glass-space-1-5",1,1,false
"--glass-space-2",1,1,false
"--glass-space-2-5",1,1,false
"--glass-space-3",1,1,false
"--glass-space-3-5",1,1,false
"--glass-space-4",1,1,false
"--glass-space-5",1,1,false
"--glass-space-6",1,1,false
"--glass-space-7",1,1,false
"--glass-space-8",1,1,false
"--glass-space-9",1,1,false
"--glass-space-10",1,1,false
"--glass-space-11",1,1,false
"--glass-space-12",1,1,false
"--glass-space-14",1,1,false
"--glass-space-16",1,1,false
"--glass-space-20",1,1,false
"--glass-space-24",1,1,false
"--glass-space-28",1,1,false
"--glass-space-32",1,1,false
"--glass-space-36",1,1,false
"--glass-space-40",1,1,false
"--glass-space-44",1,1,false
"--glass-space-48",1,1,false
"--glass-space-52",1,1,false
"--glass-space-56",1,1,false
"--glass-space-60",1,1,false
"--glass-space-64",1,1,false
"--glass-space-72",1,1,false
"--glass-space-80",1,1,false
"--glass-space-96",1,1,false
"--glass-backdrop-saturate",1,1,false
"--glass-backdrop-hue-rotate",1,1,false
"--glass-backdrop-invert",1,1,false
"--glass-backdrop-sepia",1,1,false
"--glass-backdrop-grayscale",1,1,false
"--glass-filter-base",1,1,false
"--glass-font-size-xs",1,1,false
"--glass-font-size-sm",1,1,false
"--glass-font-size-base",1,1,false
"--glass-font-size-lg",1,1,false
"--glass-font-size-xl",1,1,false
"--glass-font-size-2xl",1,1,false
"--glass-font-size-3xl",1,1,false
"--glass-font-size-4xl",1,1,false
"--glass-font-size-5xl",1,1,false
"--glass-font-size-6xl",1,1,false
"--glass-font-size-7xl",1,1,false
"--glass-font-size-8xl",1,1,false
"--glass-font-size-9xl",1,1,false
"--glass-leading-none",1,1,false
"--glass-leading-tight",1,1,false
"--glass-leading-snug",1,1,false
"--glass-leading-normal",1,1,false
"--glass-leading-relaxed",1,1,false
"--glass-leading-loose",1,1,false
"--glass-tracking-tighter",1,1,false
"--glass-tracking-tight",1,1,false
"--glass-tracking-normal",1,1,false
"--glass-tracking-wide",1,1,false
"--glass-tracking-wider",1,1,false
"--glass-tracking-widest",1,1,false
"--glass-font-thin",1,1,false
"--glass-font-extralight",1,1,false
"--glass-font-light",1,1,false
"--glass-font-normal",1,1,false
"--glass-font-medium",1,1,false
"--glass-font-semibold",1,1,false
"--glass-font-bold",1,1,false
"--glass-font-extrabold",1,1,false
"--glass-font-black",1,1,false
"--glass-z-auto",1,1,false
"--glass-z-0",1,1,false
"--glass-z-10",1,1,false
"--glass-z-20",1,1,false
"--glass-z-30",1,1,false
"--glass-z-40",1,1,false
"--glass-z-50",1,1,false
"--glass-z-60",1,1,false
"--glass-z-70",1,1,false
"--glass-z-80",1,1,false
"--glass-z-90",1,1,false
"--glass-z-100",1,1,false
"--glass-screen-xs",1,1,false
"--glass-screen-sm",1,1,false
"--glass-screen-md",1,1,false
"--glass-screen-lg",1,1,false
"--glass-screen-xl",1,1,false
"--glass-screen-2xl",1,1,false
"--glass-aspect-auto",1,1,false
"--glass-aspect-square",1,1,false
"--glass-aspect-video",1,1,false
"--glass-aspect-photo",1,1,false
"--glass-aspect-cinema",1,1,false
"--glass-container-xs",1,1,false
"--glass-container-sm",1,1,false
"--glass-container-md",1,1,false
"--glass-container-lg",1,1,false
"--glass-container-xl",1,1,false
"--glass-container-2xl",1,1,false
"--glass-container-3xl",1,1,false
"--glass-container-4xl",1,1,false
"--glass-container-5xl",1,1,false
"--glass-container-6xl",1,1,false
"--glass-container-7xl",1,1,false
"--glass-container-full",1,1,false
"--glass-gradient-primary",1,1,false
"--glass-gradient-success",1,1,false
"--glass-gradient-warning",1,1,false
"--glass-gradient-danger",1,1,false
"--glass-gradient-info",1,1,false
"--glass-gradient-neutral",1,1,false
"--glass-noise-svg",1,1,false
"--glass-noise-opacity",1,1,false
"--glass-touch-target-min",1,1,false
"--glass-touch-target-sm",1,1,false
"--glass-touch-target-md",1,1,false
"--glass-touch-target-lg",1,1,false
"--glass-transition-property",1,1,false
"--glass-transition-duration",1,1,false
"--glass-transition-timing",1,1,false
"--glass-transition",1,1,false
"--typography-heading-size",1,1,false
"--typography-heading-weight",1,1,false
"--typography-heading-line-height",1,1,false
"--typography-heading-letter-spacing",1,1,false
"--typography-subheading-size",1,1,false
"--typography-subheading-weight",1,1,false
"--typography-subheading-line-height",1,1,false
"--typography-body-size",1,1,false
"--typography-body-weight",1,1,false
"--typography-body-line-height",1,1,false
"--typography-caption-size",1,1,false
"--typography-caption-weight",1,1,false
"--typography-caption-line-height",1,1,false
"--typography-caption-opacity",1,1,false
"--typography-text-primary",1,1,false
"--typography-text-secondary",1,1,false
"--typography-text-tertiary",1,1,false
"--typography-text-disabled",1,1,false
"--typography-text-link",1,1,false
"--typography-text-link-hover",1,1,false
"--typography-text-error",1,1,false
"--typography-text-success",1,1,false
"--typography-text-warning",1,1,false
